GW_CSA_AAA,Strengthened Security Patrol 
GW_CSA_AAB,Corporate Security Squad
GW_CSA_AAC,Planetary Pacification Force
GW_CSA_AAD,Heavy Rapid Reaction Force
GW_CSA_AAE,Urban Patrol Squads
GW_CSA_AAF,CSA Droid Combat Formation
GW_CSA_AAG,Major Riot Control Team
GW_CSA_AAH,High Mobility Defence Force
GW_CSA_AAI,Light Air Support Wing
GW_CSA_AAJ,Heavy Air Support Wing
GW_CSA_AAK,Debt Collection Assault Company
GW_CSA_AAL,Insurrection Pacification Task Force
GW_CSA_AAM,Long Range Suppression Team
GW_CSA_AAN,Heavy Assault Liquidation Group
GW_CSA_AAO,Planetary Acquisition Force
GW_CSA_AAP,Reinforced Espo Line Company
GW_EA_AAA,Eriadu Authority Army Platoon
GW_EA_AAB,Eriadu Authority Army Detachment
GW_EA_AAC,Eriadu Authority Independent Recon Platoon
GW_EA_AAD,Army Special Missions Attachment Platoon
GW_EA_AAE,Eriadu Authority Support Platoon
GW_EA_AAF,Eriadu Authority Light Armoured Platoon
GW_EA_AAG,Eriadu Authority Forward Light Artillery Battery
GW_EA_AAH,Eriadu Authority Light Reconnaissance Platoon
GW_EA_AAI,Eriadu Authority Intelligence Raid Team
GW_EA_AAJ,Eriadu Authority Intelligence Assault Team
GW_EA_AAK,Eriadu Authority Assisted Army Special Missions Platoon
GW_EA_AAL,Eriadu Light Repulsor Squad
GW_EA_AAM,Eriadu Aerial Artillery Group
GW_EA_AAN,Eriadu Authority Anti-Air Battery
GW_EA_AAO,Eriadu Authority Heavy Repulsortank Company
GW_EA_AAP,Eriadu Authority Heavy Air Wing
GW_EA_AAQ,Eriadu Authority Artillery Battery
GW_EA_AAR,Eriadu Authority Heavy Walker Assault Company
GW_EA_AAS,Eriadu Authority Advanced Command And Fire Base
GW_EA_AAT,Special Missions Company
GW_EA_AAU,Augmented Special Missions Company
GW_EOTH_AAA,Phalanx Trooper Platoon
GW_EOTH_AAB,Stormtrooper Commando Detachment
GW_EOTH_AAC,Sonic Walker Company
GW_EOTH_AAD,Phalanx Rapid Deployment Force
GW_EOTH_AAE,Stormtrooper Commando Special Task Force
GW_EOTH_AAF,Hand Joint Armor Group
GW_EOTH_AAG,Urban Suppression Platoon
GW_EOTH_AAH,Hand Frontline Support Detachment
GW_EOTH_AAI,Hand Aerial Assault Wing
GW_EOTH_AAJ,Hand Artillery Survey Battery
GW_EOTH_AAK,Hand Mobile Armor Platoon
GW_EOTH_AAL,Hand Airborne Assault Platoon
GW_EOTH_AAM,Hand Heavy Siege Platoon
GW_EOTH_AAN,Hand Combined Arms Platoon
GW_GE_AAA,Depleted Imperial Assault Platoon
GW_GE_AAB,Imperial Garrison Outpost
GW_GE_AAC,Imperial Army Line Platoon
GW_GE_AAD,Imperial Sustainment Group
GW_GE_AAE,Imperial Stormtrooper Platoon
GW_GE_AAF,Light Armour Platoon 
GW_GE_AAG,Imperial Tracked Assault Team
GW_GE_AAH,Long Range Reconnaissance Task Force
GW_GE_AAI,Imperial Scout Trooper Combat Force 
GW_GE_AAJ,Imperial Stormtrooper Assault Team
GW_GE_AAK,Imperial Anti-Aircraft Battery 
GW_GE_AAL,Depleted Medium Imperial Armour Platoon
GW_GE_AAM,Imperial Airborne Scout Lance
GW_GE_AAN,Imperial Walker Platoon
GW_GE_AAO,Specialist Infantry Platoon
GW_GE_AAP,Augmented Armour Platoon
GW_GE_AAQ,Blackhole Strike Group
GW_GE_AAR,Imperial Walker Assault Force
GW_GE_AAS,Imperial Mechanised Infantry Platoon
GW_GE_AAT,Imperial Artillery Detachment
GW_GE_AAU,Imperial Elite Rapid Reaction Section
GW_GE_AAV,Imperial Air Squadron
GW_GE_AAX,Elite Imperial Walker Assault Section
GW_GE_AAY,Dark Empire Elite Vehicle Section
GW_GE_AAZ,Imperial Airborne Assault Platoon
GW_GE_ABA,Refitted Imperial Walker Assault Force
GW_GM_AAA,Greater Maldrood Army Platoon
GW_GM_AAB,Greater Maldrood Army Detachment
GW_GM_AAC,Greater Maldrood Light Recon Sweep
GW_GM_AAD,Greater Maldrood Support Platoon
GW_GM_AAE,Mechanised Spearhead Lance
GW_GM_AAF,Mechanised Light Cavalry Squadron
GW_GM_AAG,Greater Maldrood Anti-Air Battery
GW_GM_AAH,Greater Maldrood Aerial Recon Group
GW_GM_AAI,Greater Maldrood Cavalry Troop
GW_GM_AAJ,Intelligence Security Bureau Raid Task Force
GW_GM_AAK,Greater Maldrood Elite Assault Task Group
GW_GM_AAL,ISB Support Team
GW_GM_AAM,Greater Maldrood Mechanised Assault Platoon
GW_GM_AAN,Greater Maldrood Airborne Sniper Detachment
GW_GM_AAO,Greater Maldrood Artillery Battery
GW_GM_AAP,Greater Maldrood Heavy Armoured Assault Platoon
GW_GM_AAQ,Greater Maldrood Elite Airborne Assault Platoon
GW_GM_AAR,Greater Maldrood Line Mechanised Squadron
GW_GM_AAS,Bolstered Mechanised Light Cavalry Squadron
GW_HAPES_AAA,Hapan Infantry Assault Platoon
GW_HAPES_AAB,Royal House Infantry Platoon
GW_HAPES_AAC,Hapan Mobile Auxilia Platoon
GW_HAPES_AAD,Hapan Light Armoured Platoon
GW_HAPES_AAE,Hapan Royal Guard Company 
GW_HAPES_AAF,Hapan Support Platoon
GW_HAPES_AAG,Hapan Light Air Support Flight
GW_HAPES_AAH,Hapan Heavy Armoured Platoon
GW_HAPES_AAI,Hapan Artillery Battery
GW_HAPES_AAJ,Hapan Heavy Air Squadron
GW_HAPES_AAK,Hapan Royal Household Troop
GW_HAPES_AAL,Hapan Royal Guard Reserve Troop
GW_HUTTS_AAA,Mandalorian Mercenary Company
GW_HUTTS_AAB,Hutt Slave Soldier Company
GW_HUTTS_AAC,Hutt Swoop Cavalry Platoon
GW_HUTTS_AAD,Armoured Hutt Squad With Retinue
GW_HUTTS_AAE,Hutt Anti Air Battery
GW_HUTTS_AAF,Hutt Skiff Skirmish Line
GW_HUTTS_AAG,Hutt Raider Group
GW_HUTTS_AAH,Reinforced Armoured Hutt Squad With Retinue
GW_HUTTS_AAI,Shell Hutt Platoon With Warbot Escort
GW_HUTTS_AAJ,Hutt Repulsor tank Company
GW_HUTTS_AAK,Hutt Warbot Contingent
GW_HUTTS_AAL,Hutt War Trio
GW_HUTTS_AAM,Hutt Repulsor Battleline
GW_HUTTS_AAN,Hutt Reinforced Aerial Reconnaissance Wing
GW_HUTTS_AAO,Hutt Gamorrean Charge
GW_HUTTS_AAQ,Hutt Sail Barge With Escort
GW_HUTTS_AAR,Hutt Armoured Battle Line
GW_NR_AAA,Early New Republic Assault Platoon
GW_NR_AAB,Early New Republic Reinforced Rifle Platoon
GW_NR_AAC,Early New Republic Infantry Platoon
GW_NR_AAD,Early New Republic Medical Group
GW_NR_AAE,Mechanised New Republic Marine Platoon
GW_NR_AAF,New Republic Rapid Repulsor Strike Group
GW_NR_AAG,New Republic Support Group
GW_NR_AAH,Late New Republic Reinforced Rifle Platoon
GW_NR_AAI,Late New Republic Airmobile Platoon
GW_NR_AAJ,New Republic Fleet Assisted Tank Troop
GW_NR_AAK,New Republic T-47 Airspeeder Flight
GW_NR_AAL,New Republic Army Garrison
GW_NR_AAM,New Republic Jedi Led Fleet Strike Team
GW_NR_AAN,New Republic Mixed Tank Squadron 
GW_NR_AAO,New Republic Heavy Repulsor Squadron
GW_NR_AAP,New Republic V-wing Flight
GW_NR_AAQ,New Republic Reinforced Artillery Battery
GW_NR_AAR,New Republic Atmospheric Assault Group
GW_NR_AAS,New Republic Heavy Tank Squadron
