TEXT_2_WARPOD_SQUADRON,#2 Warpod Squadron
TEXT_2_WARPOD_SQUADRON_HALF,#2 Warpod Squadron 1/2
TEXT_2_WARPOD_SQUADRON2,#2 Warpod Squadron x2
TEXT_74Z_SPEEDER_BIKE_COMPANY,74-Z Speeder Scout Company
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON,Aggressor Assault Fighter Squadron
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON_HALF,Aggressor Assault Fighter Squadron 1/2
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON2,Aggressor Assault Fighter Squadron x2
TEXT_ARC170_SQUADRON,ARC-170 Squadron
TEXT_ARC170_SQUADRON_HALF,ARC-170 Squadron 1/2
TEXT_ARC170_SQUADRON2,ARC-170 Squadron x2
TEXT_ATL_INTERCEPTOR_SQUADRON,ATL Interceptor Squadron
TEXT_ATL_INTERCEPTOR_SQUADRON_HALF,ATL Interceptor Squadron 1/2
TEXT_ATL_INTERCEPTOR_SQUADRON2,ATL Interceptor Squadron 2x
TEXT_BOSSK_SWAP_DESCRIPTION,Swap between blaster and flamethrower
TEXT_BTLB_Y_WING_SQUADRON,BTL-B Y-wing Squadron
TEXT_BTLB_Y_WING_SQUADRON_HALF,BTL-B Y-wing Squadron 1/2
TEXT_BTLB_Y_WING_SQUADRON2,BTL-B Y-wing Squadron x2
TEXT_BTLS1_Y_WING_SQUADRON,BTL-S1 Y-wing Squadron
TEXT_BTLS1_Y_WING_SQUADRON_HALF,BTL-S1 Y-wing Squadron 1/2
TEXT_BTLS1_Y_WING_SQUADRON2,BTL-S1 Y-wing Squadron x2
TEXT_CITADEL_CRUISER_GROUP,Citadel Cruiser Group
TEXT_CITADEL_CRUISER_SQUADRON,Citadel Cruiser Squadron
TEXT_CLOAKSHAPE_NEW_SQUADRON,Modern Cloakshape Squadron
TEXT_CLOAKSHAPE_NEW_SQUADRON_HALF,Modern Cloakshape Squadron 1/2
TEXT_CLOAKSHAPE_NEW_SQUADRON2,Modern Cloakshape Squadron 2x
TEXT_CLOAKSHAPE_SQUADRON,Cloakshape Squadron
TEXT_CLOAKSHAPE_SQUADRON_HALF,Cloakshape Squadron 1/2
TEXT_CLOAKSHAPE_SQUADRON2,Cloakshape Squadron 2x
TEXT_CLOAKSHAPE_STOCK_SQUADRON,Stock Cloakshape Squadron
TEXT_CLOAKSHAPE_STOCK_SQUADRON_HALF,Stock Cloakshape Squadron 1/2
TEXT_CLOAKSHAPE_STOCK_SQUADRON2,Stock Cloakshape Squadron 2x
TEXT_COMPANY_BAKTOID,Baktoid Industries
TEXT_COMPANY_BALMORRAN_ARMS,Balmorran Arms
TEXT_COMPANY_BESPIN_MOTORS,Bespin Motors
TEXT_COMPANY_BESPIN_MOTORS_DESCRIPTION,All Bespin Motors products: Storm Cloud Car.
TEXT_COMPANY_CEC,Corellian Engineering Corporation
TEXT_COMPANY_DAMORIAN,Damorian Manufacturing Corporation
TEXT_COMPANY_GARRISON_ARATECH,74-Z Speeder Bike Scout: 2 / 2
TEXT_COMPANY_GARRISON_BALMORRAN_ARMS,SD-6 Hulk Infantry Droid: 2 / 2
TEXT_COMPANY_GARRISON_BESPIN_MOTORS,Storm Cloud Car: 1 / 1
TEXT_COMPANY_GARRISON_CEC,Local Military Squad: 1 / 1
